,track_name,album_name,artist_name,track_tag_list,url,playcount,listeners,streamable_text,duration
0,Ikuinen vappu,Ikuinen vappu - Single,JVG,"['Suomirap', '2010s', '2019', 'Hip-Hop', 'pop']",https://www.last.fm/music/JVG/_/Ikuinen+vappu,142964,11293,0,0
1,"Requiem in D Minor, K. 626: 8. Communio: Lux aeterna - Live",Deep Dive - Mozart,Wolfgang Amadeus Mozart,[],"https://www.last.fm/music/Wolfgang+Amadeus+Mozart/_/Requiem+in+D+Minor,+K.+626:+8.+Communio:+Lux+aeterna+-+Live",13038,5381,0,318000
2,"Requiem in D Minor, K. 626: 7. Agnus Dei - Live",Deep Dive - Mozart,Wolfgang Amadeus Mozart,[],"https://www.last.fm/music/Wolfgang+Amadeus+Mozart/_/Requiem+in+D+Minor,+K.+626:+7.+Agnus+Dei+-+Live",14317,5920,0,209000
3,"Requiem in D Minor, K. 626: 6. Benedictus - Live",Deep Dive - Mozart,Wolfgang Amadeus Mozart,[],"https://www.last.fm/music/Wolfgang+Amadeus+Mozart/_/Requiem+in+D+Minor,+K.+626:+6.+Benedictus+-+Live",14277,5823,0,310000
4,"Requiem in D Minor, K. 626: 5. Sanctus - Live",Deep Dive - Mozart,Wolfgang Amadeus Mozart,[],"https://www.last.fm/music/Wolfgang+Amadeus+Mozart/_/Requiem+in+D+Minor,+K.+626:+5.+Sanctus+-+Live",15878,6465,0,127000
5,"Requiem in D Minor, K. 626: 4. Offertorium: Hostias - Live",Deep Dive - Mozart,Wolfgang Amadeus Mozart,[],"https://www.last.fm/music/Wolfgang+Amadeus+Mozart/_/Requiem+in+D+Minor,+K.+626:+4.+Offertorium:+Hostias+-+Live",17282,6731,0,228000
6,"Requiem in D Minor, K. 626: 4. Offertorium: Domine Jesu - Live",Deep Dive - Mozart,Wolfgang Amadeus Mozart,[],"https://www.last.fm/music/Wolfgang+Amadeus+Mozart/_/Requiem+in+D+Minor,+K.+626:+4.+Offertorium:+Domine+Jesu+-+Live",20547,7401,0,216000
7,"Requiem in D Minor, K. 626: 3. Sequentia: Lacrimosa - Live",Deep Dive - Mozart,Wolfgang Amadeus Mozart,[],"https://www.last.fm/music/Wolfgang+Amadeus+Mozart/_/Requiem+in+D+Minor,+K.+626:+3.+Sequentia:+Lacrimosa+-+Live",102267,26586,0,173000
8,"Requiem in D Minor, K. 626: 3. Sequentia: Confutatis - Live",Deep Dive - Mozart,Wolfgang Amadeus Mozart,[],"https://www.last.fm/music/Wolfgang+Amadeus+Mozart/_/Requiem+in+D+Minor,+K.+626:+3.+Sequentia:+Confutatis+-+Live",25167,8588,0,154000
9,"Requiem in D Minor, K. 626: 3. Sequentia: Recordare - Live",Deep Dive - Mozart,Wolfgang Amadeus Mozart,[],"https://www.last.fm/music/Wolfgang+Amadeus+Mozart/_/Requiem+in+D+Minor,+K.+626:+3.+Sequentia:+Recordare+-+Live",20597,7927,0,304000
10,"Requiem in D Minor, K. 626: 3. Sequentia: Rex tremendae - Live",Deep Dive - Mozart,Wolfgang Amadeus Mozart,[],"https://www.last.fm/music/Wolfgang+Amadeus+Mozart/_/Requiem+in+D+Minor,+K.+626:+3.+Sequentia:+Rex+tremendae+-+Live",26161,9127,0,104000
11,"Requiem in D Minor, K. 626: 3. Sequentia: Tuba mirum - Live",Deep Dive - Mozart,Wolfgang Amadeus Mozart,[],"https://www.last.fm/music/Wolfgang+Amadeus+Mozart/_/Requiem+in+D+Minor,+K.+626:+3.+Sequentia:+Tuba+mirum+-+Live",22686,8586,0,197000
12,"Requiem in D Minor, K. 626: 3. Sequentia: Dies irae - Live",Deep Dive - Mozart,Wolfgang Amadeus Mozart,[],"https://www.last.fm/music/Wolfgang+Amadeus+Mozart/_/Requiem+in+D+Minor,+K.+626:+3.+Sequentia:+Dies+irae+-+Live",46317,14760,0,119000
13,"Requiem in D Minor, K. 626: 2. Kyrie - Live",Deep Dive - Mozart,Wolfgang Amadeus Mozart,[],"https://www.last.fm/music/Wolfgang+Amadeus+Mozart/_/Requiem+in+D+Minor,+K.+626:+2.+Kyrie+-+Live",31564,10815,0,145000
14,"Requiem in D Minor, K. 626: 1. Introitus: Requiem - Live",Deep Dive - Mozart,Wolfgang Amadeus Mozart,[],"https://www.last.fm/music/Wolfgang+Amadeus+Mozart/_/Requiem+in+D+Minor,+K.+626:+1.+Introitus:+Requiem+-+Live",41325,14346,0,271000
15,"Vesperae solennes de confessore in C Major, K. 339: 5. Laudate Dominum omnes gentes - Live",Deep Dive - Mozart,Wolfgang Amadeus Mozart,[],"https://www.last.fm/music/Wolfgang+Amadeus+Mozart/_/Vesperae+solennes+de+confessore+in+C+Major,+K.+339:+5.+Laudate+Dominum+omnes+gentes+-+Live",11600,4654,0,270000
16,"Grabmusik, K. 42: 4. ""Betracht dies Herz und frage mich"" - Live",Deep Dive - Mozart,Wolfgang Amadeus Mozart,[],"https://www.last.fm/music/Wolfgang+Amadeus+Mozart/_/Grabmusik,+K.+42:+4.+%22Betracht+dies+Herz+und+frage+mich%22+-+Live",10576,4562,0,257000
17,The Search,The Search,NF,"['Hip-Hop', 'rap', 'conscious hip-hop', 'trap']",https://www.last.fm/music/NF/_/The+Search,2070206,176444,0,248000
18,Everything,BRY,Bry,['rock'],https://www.last.fm/music/Bry/_/Everything,8488,1291,0,169000
19,Care,BRY,Bry,['rock'],https://www.last.fm/music/Bry/_/Care,15662,2207,0,204000
20,Hope You're Listening,BRY,Bry,[],https://www.last.fm/music/Bry/_/Hope+You%27re+Listening,5785,693,0,214000
21,Disarm,BRY,Bry,['rock'],https://www.last.fm/music/Bry/_/Disarm,14611,2391,0,250000
22,"Qui dit mieux (feat. Orelsan, Vald & Suikon Blaz AD)",,Gringe,[],"https://www.last.fm/music/Gringe/_/Qui+dit+mieux+(feat.+Orelsan,+Vald+&+Suikon+Blaz+AD)",85530,8898,0,250000
23,Casseurs Flowters Infinity,Civilisation Edition Ultime,Orelsan,[],https://www.last.fm/music/Orelsan/_/Casseurs+Flowters+Infinity,142228,14680,0,188000
24,La quête,Civilisation,Orelsan,['fip'],https://www.last.fm/music/Orelsan/_/La+qu%C3%AAte,235657,23812,0,244000
25,Tout ce que je sais (feat. YBN Cordae),,Orelsan,[],https://www.last.fm/music/Orelsan/_/Tout+ce+que+je+sais+(feat.+YBN+Cordae),66984,11475,0,178000
26,Fantômes,La fête est finie - Épilogue,Orelsan,[],https://www.last.fm/music/Orelsan/_/Fant%C3%B4mes,55908,9009,0,158000
27,Notes pour trop tard (feat. Ibeyi),La fête est finie - EPILOGUE,Orelsan,[],https://www.last.fm/music/Orelsan/_/Notes+pour+trop+tard+(feat.+Ibeyi),210070,22374,0,454000
28,Paradis,La fête est finie,Orelsan,[],https://www.last.fm/music/Orelsan/_/Paradis,157879,19419,0,229000
29,La pluie (feat. Stromae),La fête est finie - EPILOGUE,Orelsan,"['Variete francaise', 'Rap FR']",https://www.last.fm/music/Orelsan/_/La+pluie+(feat.+Stromae),272321,36442,0,175000
30,"Dans ma ville, on traîne",La fête est finie,Orelsan,[],"https://www.last.fm/music/Orelsan/_/Dans+ma+ville,+on+tra%C3%AEne",106999,13451,0,240000
31,Zone (feat. Nekfeu & Dizzee Rascal),La fête est finie - EPILOGUE,Orelsan,[],https://www.last.fm/music/Orelsan/_/Zone+(feat.+Nekfeu+&+Dizzee+Rascal),90105,13685,0,286000
32,Christophe (feat. Maître Gims),Ceinture noire (Bonus Track Version),Orelsan,[],https://www.last.fm/music/Orelsan/_/Christophe+(feat.+Ma%C3%AEtre+Gims),111141,15348,0,167000
33,Quand est-ce que ça s'arrête,La fête est finie,Orelsan,[],https://www.last.fm/music/Orelsan/_/Quand+est-ce+que+%C3%A7a+s%27arr%C3%AAte,126600,15959,0,167000
34,Bonne meuf,La fête est finie,Orelsan,[],https://www.last.fm/music/Orelsan/_/Bonne+meuf,92800,13965,0,124000
35,La lumière,La fête est finie,Orelsan,['Rap FR'],https://www.last.fm/music/Orelsan/_/La+lumi%C3%A8re,99564,14216,0,193000
36,Défaite de famille,La fête est finie,Orelsan,[],https://www.last.fm/music/Orelsan/_/D%C3%A9faite+de+famille,164321,21332,0,223000
37,Tout va bien,La fête est finie,Orelsan,[],https://www.last.fm/music/Orelsan/_/Tout+va+bien,153213,20658,0,149000
38,Basique,La fête est finie,Orelsan,"['Hip-Hop', 'french', 'rap', 'fip']",https://www.last.fm/music/Orelsan/_/Basique,226027,26988,0,163000
39,La fête est finie,La fête est finie,Orelsan,['Variete francaise'],https://www.last.fm/music/Orelsan/_/La+f%C3%AAte+est+finie,139171,17140,0,186000
40,San,La fête est finie,Orelsan,"['rap', 'Rap FR']",https://www.last.fm/music/Orelsan/_/San,205612,19932,0,242000
41,Epilogue,La Fête Est Finie - Epilogue [Explicit],Orelsan,[],https://www.last.fm/music/Orelsan/_/Epilogue,73779,8848,0,291000
42,Rêves bizarres (feat. Damso),Rêves bizarres (feat. Damso),Orelsan,['Rap FR'],https://www.last.fm/music/Orelsan/_/R%C3%AAves+bizarres+(feat.+Damso),242747,23291,0,213000
43,Dis-moi,50 Hits Summer 2019,Orelsan,[],https://www.last.fm/music/Orelsan/_/Dis-moi,52082,8445,0,0
44,Excuses ou mensonges,La fête est finie - Épilogue,Orelsan,[],https://www.last.fm/music/Orelsan/_/Excuses+ou+mensonges,45126,7472,0,182000
45,Adieu les filles,La fête est finie - Épilogue,Orelsan,[],https://www.last.fm/music/Orelsan/_/Adieu+les+filles,63967,9307,0,106000
46,Discipline,La fête est finie - EPILOGUE,Orelsan,[],https://www.last.fm/music/Orelsan/_/Discipline,58735,8987,0,166000
47,Tout va bien (Remix) [feat. Eugy & Kojo Funds],La fête est finie - EPILOGUE,Orelsan,[],https://www.last.fm/music/Orelsan/_/Tout+va+bien+(Remix)+%5Bfeat.+Eugy+&+Kojo+Funds%5D,20449,4787,0,149000
48,Mes grands-parents,,Orelsan,[],https://www.last.fm/music/Orelsan/_/Mes+grands-parents,45221,8432,0,0
49,"La famille, la famille",La fête est finie - Épilogue,Orelsan,[],"https://www.last.fm/music/Orelsan/_/La+famille,+la+famille",49509,8579,0,211000
50,I REALLY WANT TO STAY AT YOUR HOUSE,,Rosa Walton,"['Soundtrack', 'electropop', 'pop', 'ost', 'hyperpop']",https://www.last.fm/music/Rosa+Walton/_/I+REALLY+WANT+TO+STAY+AT+YOUR+HOUSE,2017421,107517,0,246000
51,Mechanix,Killing Is My Business...And Business Is Good!,Megadeth,"['thrash metal', 'heavy metal', 'speed metal', 'metal', 'Megadeth']",https://www.last.fm/music/Megadeth/_/Mechanix,920450,144898,0,261000
