name,age,realname,bootstrap,playcount,artist_count,track_count,album_count,playlists,following,follower,country,gender,subscriber,url,image,registered,open
cynocauma,0,,0,29860,592,3286,1328,0,,,,n,0,https://www.last.fm/user/cynocauma,,1645178226,0
AetherJoako,0,Joaquín,0,6913,321,848,580,0,,,Chile,n,0,https://www.last.fm/user/AetherJoako,https://lastfm.freetls.fastly.net/i/u/300x300/d3b11d03b628f7f99850d287b9cf65f7.png,1541372926,0
leyrey,0,leyrey,0,118135,2805,11081,5401,0,,,,n,0,https://www.last.fm/user/leyrey,https://lastfm.freetls.fastly.net/i/u/300x300/83cc508337dfa037819e4f8ac1833100.png,1540131248,0
NovicePlayer,0,,0,22681,968,4244,671,0,,,,n,0,https://www.last.fm/user/NovicePlayer,,1653624752,0
Nouwh,0,,0,50945,3143,8398,5935,0,,,,n,0,https://www.last.fm/user/Nouwh,https://lastfm.freetls.fastly.net/i/u/300x300/9323b127e9a35c9e614e6dc11495ce25.png,1571770571,0
erickdsr12,0,erick,0,216779,4842,14430,8794,0,,,Brazil,n,0,https://www.last.fm/user/erickdsr12,https://lastfm.freetls.fastly.net/i/u/300x300/61a2cc6ce3da7bbb2722b7f8be48a39b.png,1427065817,0
ZombieTeam67,0,,0,83442,1786,3589,2799,0,,,,n,0,https://www.last.fm/user/ZombieTeam67,https://lastfm.freetls.fastly.net/i/u/300x300/7957a4b1ddae27be4d7251fffcc11d14.png,1637281617,0
BilingualZebra7,0,,0,20482,1707,4104,2517,0,,,,n,0,https://www.last.fm/user/BilingualZebra7,,1641992153,0
rataclans,0,,0,17232,1088,2692,1951,0,,,,n,0,https://www.last.fm/user/rataclans,,1645507377,0
Spectrum321146,0,,0,58772,2308,6607,3884,0,,,,n,0,https://www.last.fm/user/Spectrum321146,https://lastfm.freetls.fastly.net/i/u/300x300/7927d743679ca7eb60f7acf515c4fbb3.png,1597755411,0
